N,time,memory
2,0.19,53504
3,0.15,53176
4,0.16,53540
5,0.16,53312
6,0.18,55472
7,0.21,54068
8,0.21,54332
9,0.25,54804
10,0.31,55716
11,0.40,56920
12,0.54,58100
13,0.73,59632
14,0.99,61492
15,1.37,63588
16,1.87,67292
17,2.52,73004
18,3.33,75064
19,4.51,80760
20,5.85,88728
21,7.73,97268
22,9.93,104964
23,13.01,115200
24,16.34,128332
25,20.77,141444
26,26.20,159088
27,32.43,177520
28,39.61,197416
29,49.26,221280
30,59.41,251004
31,72.13,279664
32,86.60,313992
33,105.58,353784
34,124.50,396380
35,146.78,443576
36,177.75,496796
37,208.98,555724
38,239.15,622676
39,275.48,692040
40,328.25,772620
41,362.01,857096
42,416.36,952716
